"Variants of the population projection
Länder",2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31,2031-12-31,2032-12-31,2033-12-31,2034-12-31,2035-12-31,2036-12-31,2037-12-31,2038-12-31,2039-12-31,2040-12-31,2041-12-31,2042-12-31,2043-12-31,2044-12-31,2045-12-31,2046-12-31,2047-12-31,2048-12-31,2049-12-31,2050-12-31,2051-12-31,2052-12-31,2053-12-31,2054-12-31,2055-12-31,2056-12-31,2057-12-31,2058-12-31,2059-12-31,2060-12-31,2061-12-31,2062-12-31,2063-12-31,2064-12-31,2065-12-31,2066-12-31,2067-12-31,2068-12-31,2069-12-31,2070-12-31
"BEV-VARIANTE-01 Mod. birth rate a. life exp.,low mig.bal. (G2L2W1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schleswig-Holstein,2955.7,2966.4,2974.3,2981.7,2988.3,2994,2998.8,3002.6,3005.6,3007.7,3008.9,3009.2,3009,3008.5,3007.6,3006.2,3004.6,3002.5,3000,2997.1,2993.8,2990.1,2986,2981.4,2976.3,2970.9,2965,2958.6,2951.7,2944.7,2937.6,2930.3,2923.1,2915.9,2908.8,2901.9,2895.4,2889.2,2883.4,2878,2873.1,2868.7,2864.7,2861.1,2857.9,2855,2852.3,2849.8,2847.4
Thüringen,2118.4,2109.4,2098.4,2087.3,2076,2064.2,2052.3,2040.1,2027.7,2015.3,2002.7,1990,1977.6,1965.5,1953.7,1942,1930.5,1919.2,1908,1896.9,1886,1875.1,1864.4,1853.8,1843.4,1833.1,1823,1813.1,1803.4,1793.9,1784.6,1775.6,1766.9,1758.5,1750.5,1742.9,1735.8,1729,1722.7,1716.8,1711.3,1706.2,1701.4,1696.9,1692.7,1688.7,1684.8,1681.1,1677.5
"BEV-VARIANTE-03 Mod. birth rate a. life exp.,high mig.bal.(G2L2W3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,11306.2,11387.7,11444.2,11498.6,11550.3,11598.3,11642.9,11684,11721.8,11756.2,11787.3,11814.7,11841.7,11868,11893.7,11918.5,11942.3,11964.9,11986.3,12006.4,12025.2,12042.8,12059.3,12074.8,12089.3,12103.2,12116.3,12128.9,12141.1,12152.6,12163.8,12174.6,12185.4,12196.2,12207.3,12218.8,12231.1,12244.1,12258.2,12273.3,12289.4,12306.6,12324.7,12343.5,12362.9,12382.6,12402.4,12422.1,12441.4
Bayern,13416.2,13529.3,13610.7,13689.4,13764.2,13834.4,13899.9,13960.9,14017.4,14069.1,14115.9,14157.6,14197.9,14236.8,14274.3,14310.2,14344.4,14376.9,14407.7,14436.7,14464,14489.8,14514.2,14537.3,14559.2,14580,14600,14619.1,14637.5,14655.4,14673,14690.3,14707.7,14725.3,14743.4,14762.2,14781.9,14802.7,14824.7,14848,14872.6,14898.3,14924.9,14952.4,14980.3,15008.5,15036.6,15064.5,15091.8
Berlin,3787,3836.8,3871.6,3905.4,3937.9,3968.8,3998.2,4026.3,4053,4078.3,4102.1,4124.1,4146.2,4168.6,4191.3,4214.2,4237.3,4260.7,4284.1,4307.8,4331.6,4355.4,4379.3,4403.2,4427,4450.9,4474.8,4498.7,4522.6,4546,4569,4591.6,4613.8,4635.7,4657.3,4678.6,4699.7,4720.7,4741.5,4762.3,4783.1,4803.7,4824.2,4844.5,4864.6,4884.4,4903.7,4922.6,4941
Brandenburg,2567.4,2581.1,2590.4,2598.9,2606.3,2612.6,2617.8,2622,2625.4,2628,2629.7,2630.7,2631.4,2631.8,2631.9,2631.6,2631,2629.9,2628.4,2626.4,2623.8,2620.8,2617.2,2613.1,2608.6,2603.6,2598.1,2592.2,2585.8,2579.6,2573.5,2567.6,2562,2556.8,2551.9,2547.6,2543.7,2540.3,2537.5,2535.2,2533.4,2532,2530.9,2530.2,2529.7,2529.3,2529,2528.7,2528.5
Bremen,689.6,694.4,697.1,699.7,702.1,704.4,706.5,708.5,710.4,712.1,713.6,715,716.5,718.1,719.8,721.6,723.4,725.3,727.3,729.4,731.5,733.6,735.7,738,740.2,742.5,744.9,747.3,749.8,752.2,754.6,757,759.4,761.7,764.1,766.4,768.8,771.2,773.6,776,778.5,781,783.6,786.2,788.8,791.4,794,796.6,799.2
Hamburg,1884,1898.3,1908.7,1919,1929,1938.5,1947.7,1956.5,1964.9,1972.9,1980.5,1987.6,1994.7,2001.8,2009,2016.3,2023.7,2031,2038.4,2045.8,2053.1,2060.4,2067.6,2074.8,2081.8,2088.6,2095.4,2101.9,2108.3,2114.5,2120.3,2125.9,2131.2,2136.3,2141.2,2145.9,2150.4,2154.8,2159.2,2163.6,2167.9,2172.2,2176.5,2180.8,2185.1,2189.4,2193.5,2197.7,2201.7
Hessen,6395.8,6437.6,6464.8,6491,6515.7,6538.5,6559.5,6578.7,6596.1,6611.7,6625.4,6637,6648.6,6659.9,6671.1,6682.1,6692.8,6703.1,6713,6722.6,6731.8,6740.6,6749.1,6757.3,6765.1,6772.7,6780,6787.1,6794,6800.6,6806.9,6813,6819.1,6825.2,6831.4,6837.9,6844.7,6852,6859.8,6868.2,6877.3,6886.9,6897.1,6907.7,6918.7,6930,6941.5,6952.9,6964.4
